sector,week,return_5d,return_10d,speech_count,return_time
Auto,2019-10-21/2019-10-27,0.02859194443346485,0.009124595668884326,2,~1 Week
Auto,2019-10-28/2019-11-03,-0.022323681807361852,-0.03597682133330391,4,1-2 Weeks
Auto,2019-11-04/2019-11-10,-0.015105582653468367,-0.023715712180219003,3,1-2 Weeks
Auto,2019-11-11/2019-11-17,-0.017453619723668722,-0.0012868700895518888,9,~1 Week
Auto,2019-11-18/2019-11-24,0.020424478302558207,-0.01308516924137398,5,~1 Week
Auto,2019-11-25/2019-12-01,-0.02194322162641217,-0.03086583154091602,9,~1 Week
Auto,2019-12-02/2019-12-08,-0.020466648125428682,0.0020182199691843165,3,~1 Week
Auto,2019-12-09/2019-12-15,0.00718205496753685,0.02979338141620375,1,~2 Weeks
Auto,2019-12-16/2019-12-22,0.015139437861184064,0.024863774609439226,4,1-2 Weeks
Auto,2019-12-23/2019-12-29,-0.00847119268051635,0.00021391416509689985,1,~1 Week
Auto,2020-01-06/2020-01-12,0.04533875427128275,0.010550769635598124,4,~1 Week
Auto,2020-01-13/2020-01-19,-0.03191659177214234,-0.048455422934456045,3,~1 Week
Auto,2020-01-20/2020-01-26,-0.02645475614814355,-0.02369532299753015,1,~1 Week
Auto,2020-02-03/2020-02-09,-0.013565821012523176,-0.046795611925010125,2,~2 Weeks
Auto,2020-02-10/2020-02-16,-0.017679928068837024,-0.0831540976660478,2,~2 Weeks
Auto,2020-02-17/2020-02-23,-0.0866778774730498,-0.07520975956497071,3,~1 Week
Auto,2020-02-24/2020-03-01,-0.018798037531794997,-0.09017199570788338,2,~2 Weeks
Auto,2020-03-23/2020-03-29,-0.008648265903304,0.0982722863904271,1,~2 Weeks
Auto,2020-04-06/2020-04-12,0.00246594651367765,-0.03751674924917705,1,~2 Weeks
Auto,2020-04-20/2020-04-26,-0.006590084823217051,0.01743567567548475,1,1-2 Weeks
Auto,2020-05-04/2020-05-10,0.0361472537108643,0.0005995730235028498,1,~1 Week
Auto,2020-05-11/2020-05-17,-0.0349119179360416,0.06581649358537456,1,1-2 Weeks
Auto,2020-05-18/2020-05-24,0.09628839738766054,0.14534255387986558,3,~1 Week
Auto,2020-05-25/2020-05-31,0.045026586559530596,0.0230135855847275,1,~1 Week
Auto,2020-06-15/2020-06-21,0.017196484463198082,0.035980565806610916,3,1-2 Weeks
Auto,2020-06-22/2020-06-28,0.0331926659474263,0.040441925250266006,1,~1 Week
Auto,2020-07-06/2020-07-12,-0.05622808027938145,-0.0010196148847913004,1,~1 Week
Auto,2020-07-13/2020-07-19,0.058562890940404996,0.08048477906394266,1,~1 Week
Auto,2020-07-20/2020-07-26,0.02606704272118905,0.07977761070284134,1,~2 Weeks
Auto,2020-08-03/2020-08-09,0.0434732761631159,0.0643010166268083,1,~1 Week
Auto,2020-08-10/2020-08-16,0.02007378663731645,0.04645336322855195,1,1-2 Weeks
Auto,2020-08-17/2020-08-23,0.011332905196267,-0.0027332638830474,1,~1 Week
Auto,2020-08-24/2020-08-30,-0.008298101968126633,-0.001943697536321833,3,~1 Week
Auto,2020-08-31/2020-09-06,0.028830795228417375,0.026781841663494798,2,~1 Week
Auto,2020-09-21/2020-09-27,0.028830161475985716,0.06279273445751214,3,1-2 Weeks
Auto,2020-09-28/2020-10-04,0.03256779928252925,0.015143199017891074,4,~1 Week
Auto,2020-10-05/2020-10-11,0.0098666385286332,-0.0134823609899103,1,~1 Week
Auto,2020-10-12/2020-10-18,-0.01496183329545985,0.008560443658332176,4,~1 Week
Auto,2020-10-19/2020-10-25,0.01171777778584883,-0.00292156337162346,5,~1 Week
Auto,2020-11-02/2020-11-08,0.011559822912548737,0.04837990972227176,4,~2 Weeks
Auto,2020-11-09/2020-11-15,0.039546652824153365,0.05271667471660887,3,~1 Week
Auto,2020-11-16/2020-11-22,0.021218327769357625,0.08288778769293804,8,~2 Weeks
Auto,2020-11-23/2020-11-29,0.04438195556527859,0.0701339347233464,7,1-2 Weeks
Auto,2020-11-30/2020-12-06,0.0266384564265088,0.016494604499032874,2,~1 Week
Auto,2020-12-07/2020-12-13,-0.012341344327843649,-0.02284275897611315,1,1-2 Weeks
Auto,2020-12-14/2020-12-20,-0.033681090322393,-0.0037652132853035775,9,~1 Week
Auto,2020-12-21/2020-12-27,0.0409671797000321,0.09486691473743665,1,1-2 Weeks
Auto,2021-01-04/2021-01-10,0.0230474113385006,0.03764982464954245,1,1-2 Weeks
Auto,2021-01-11/2021-01-17,0.00033206218350976743,-0.0421792068861292,3,~2 Weeks
Auto,2021-01-25/2021-01-31,0.0663540279096787,0.0811066760075794,1,~1 Week
Auto,2021-02-08/2021-02-14,-0.0291391025952905,-0.08205870451987074,1,1-2 Weeks
Auto,2021-02-15/2021-02-21,-0.06242986204390495,-0.038743824948528675,2,~1 Week
Auto,2021-02-22/2021-02-28,0.02334389351254634,0.022772590972774252,5,~1 Week
Auto,2021-03-01/2021-03-07,0.007527664430967,-0.015433034959471601,2,1-2 Weeks
